NomeEstacao,CodEstacao,StatusEstacao,MunicipioUF,Latitude,Longitude,Altitude,Operadora,Responsavel,Origem,Bacia,SubBacia,CodRio
PORTO SÃO JOSÉ - JUSANTE,64575003,Manutenção,SÃO PEDRO DO PARANÁ-PR,-22.71306,-53.17278,232.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas ,CotaOnline,6,64,60001000
PORTO QUERÊNCIA,64580010,Ativo,QUERÊNCIA DO NORTE-PR,-22.96670,-53.60280,0.00,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,RHN,6,64,60001000
PRUDENTÓPOLIS CAPT. SANEPAR,64619000,Ativo,PRUDENTÓPOLIS-PR,-25.23720,-50.96080,747.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas ,RHN,6,64,64300100
PCH BOA VISTA II,64630000,Ativo,TURVO-PR,-24.91670,-51.41670,590.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,6,64,64300810
PCH BOA VISTA II BARRAMENTO,64630050,Ativo,TURVO-PR,-24.94080,-51.38440,850.00,00186 - IBEMA - Companhia Brasileira de Papel-IBEMA,00186 - IBEMA - Companhia Brasileira de Papel-IBEMA,Setor Elétrico,6,64,64300810
PCH BOA VISTA II JUSANTE,64630100,Ativo,TURVO-PR,-24.92280,-51.39750,840.00,00186 - IBEMA - Companhia Brasileira de Papel-IBEMA,00186 - IBEMA - Companhia Brasileira de Papel-IBEMA,Setor Elétrico,6,64,64300810
PCH CACHOEIRA MONTANTE,64630500,Ativo,TURVO-PR,-24.94390,-51.42250,830.00,00186 - IBEMA - Companhia Brasileira de Papel-IBEMA,00186 - IBEMA - Companhia Brasileira de Papel-IBEMA,Setor Elétrico,6,64,64300815
PCH CACHOEIRA BARRAMENTO,64630600,Ativo,TURVO-PR,-24.93330,-51.43280,850.00,00186 - IBEMA - Companhia Brasileira de Papel-IBEMA,00186 - IBEMA - Companhia Brasileira de Papel-IBEMA,Setor Elétrico,6,64,64300815
PCH PEDRINHO I BARRAMENTO,64631800,Ativo,BOA VENTURA DE SÃO ROQUE-PR,-24.78780,-51.43080,0.00,00257 - RIO PEDRINHO - Energética Rio Pedrinho S.A.,00257 - RIO PEDRINHO - Energética Rio Pedrinho S.A.,Setor Elétrico,6,64,64300900
PCH PEDRINHO I JUSANTE,64632000,Ativo,BOA VENTURA DE SÃO ROQUE-PR,-24.77690,-51.42890,542.00,00257 - RIO PEDRINHO - Energética Rio Pedrinho S.A.,00257 - RIO PEDRINHO - Energética Rio Pedrinho S.A.,Setor Elétrico,6,64,64300900
PCH ITAGUAÇU BARRAMENTO,64633000,Ativo,PITANGA-PR,-24.69420,-51.51940,538.00,00574 - ITAGUAÇU - Itaguaçu Energia S.A,00574 - ITAGUAÇU - Itaguaçu Energia S.A,Setor Elétrico,6,64,64301000
PCH ITAGUAÇU JUSANTE,64633050,Ativo,PITANGA-PR,-24.68940,-51.51810,478.00,00574 - ITAGUAÇU - Itaguaçu Energia S.A,00574 - ITAGUAÇU - Itaguaçu Energia S.A,Setor Elétrico,6,64,64301000
PCH CRISTALINO JUSANTE,64638000,Ativo,MANOEL RIBAS-PR,-24.57360,-51.55720,623.00,00300 - CRISTALINO - Cristalino Energia Ltda.,00300 - CRISTALINO - Cristalino Energia Ltda.,Setor Elétrico,6,64,64301300
PORTO ESPANHOL,64645000,Manutenção,GRANDES RIOS-PR,-24.34190,-51.42440,413.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas ,RHN,6,64,64300000
PCH MOURÃO I MONTANTE,64670005,Ativo,CAMPO MOURÃO-PR,-24.20670,-52.38250,612.53,01066 - MOURÃO - Enel Green Power Mourão S.A.,01066 - MOURÃO - Enel Green Power Mourão S.A.,Setor Elétrico,6,64,64320500
PCH MOURÃO I  BARRAMENTO,64670011,Ativo,CAMPO MOURÃO-PR,-24.10470,-52.32830,612.00,01066 - MOURÃO - Enel Green Power Mourão S.A.,01066 - MOURÃO - Enel Green Power Mourão S.A.,Setor Elétrico,6,64,64320500
PCH SALTO NATAL BARRAMENTO,64671500,Ativo,CAMPO MOURÃO-PR,-24.08640,-52.30080,514.50,00796 - SALTO NATAL - Energética Salto Natal S.A.,00796 - SALTO NATAL - Energética Salto Natal S.A.,Setor Elétrico,6,64,64320500
PCH SALTO NATAL JUSANTE,64671600,Ativo,CAMPO MOURÃO-PR,-24.05610,-52.29030,432.00,00796 - SALTO NATAL - Energética Salto Natal S.A.,00796 - SALTO NATAL - Energética Salto Natal S.A.,Setor Elétrico,6,64,64320500
PCH OURO BRANCO MONTANTE,64672050,Ativo,PEABIRU-PR,-24.01390,-52.24920,394.00,01134 - OURO BRANCO - Central Hidrelétrica Ouro Branco Ltda.,01134 - OURO BRANCO - Central Hidrelétrica Ouro Branco Ltda.,Setor Elétrico,6,64,64320500
PCH OURO BRANCO BARRAMENTO,64672100,Ativo,PEABIRU-PR,-23.99470,-52.23170,382.00,01134 - OURO BRANCO - Central Hidrelétrica Ouro Branco Ltda.,01134 - OURO BRANCO - Central Hidrelétrica Ouro Branco Ltda.,Setor Elétrico,6,64,64320500
PORTO BANANEIRA,64675002,Ativo,ENGENHEIRO BELTRÃO-PR,-23.67470,-52.11720,520.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas ,RHN,6,64,64300000
JAPURÁ - RIO DOS ÍNDIOS,64682000,Ativo,JAPURÁ-PR,-23.44140,-52.60470,285.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas ,RHN,6,64,64321700
PORTO CARRIEL,64767000,Ativo,GUARANIAÇÚ-PR,-24.94670,-52.59640,380.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas ,RHN,6,64,64510000
PEQUENO MUNDO,64771100,Ativo,ALTAMIRA DO PARANÁ-PR,-24.83890,-52.79610,0.00,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,RHN,6,64,64510000
PCH CANTU 2 MONTANTE,64773500,Ativo,MATO RICO-PR,-24.72470,-52.39310,435.00,00610 - CANTU - Cantu Energética S.A,00610 - CANTU - Cantu Energética S.A,Setor Elétrico,6,64,64510700
PCH CANTU 2 RIO BRANCO,64773750,Ativo,LARANJAL-PR,-24.76440,-52.43080,421.00,00610 - CANTU - Cantu Energética S.A,00610 - CANTU - Cantu Energética S.A,Setor Elétrico,6,64,64301500
PCH CANTU 2 BARRAMENTO,64773880,Ativo,NOVA CANTU-PR,-24.74780,-52.46810,415.00,00610 - CANTU - Cantu Energética S.A,00610 - CANTU - Cantu Energética S.A,Setor Elétrico,6,64,64510700
PCH CANTU 2 JUSANTE,64773890,Ativo,NOVA CANTU-PR,-24.74360,-52.47530,373.00,00610 - CANTU - Cantu Energética S.A,00610 - CANTU - Cantu Energética S.A,Setor Elétrico,6,64,64510700
PONTE DO GOIO - BANG,64785000,Ativo,CAMPINA DA LAGOA-PR,-24.55440,-52.90140,320.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas ,RHN,6,64,64511000
BALSA DO GOIO - ERE,64810000,Manutenção,MARILUZ-PR,-23.91667,-53.13306,320.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas ,CotaOnline,6,64,64511700
FAZENDA UBERABA,64815000,Ativo,MARILUZ-PR,-24.13310,-53.31670,310.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas ,RHN,6,64,64511700
UHE ITAIPU NOVO BALSA SANTA MARIA,64831000,Ativo,PALOTINA-PR,-24.19060,-53.74360,0.00,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,Setor Elétrico,6,64,64510000
IPORÃ,64833000,Ativo,IPORÃ-PR,-23.97140,-53.75250,260.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas ,RHN,6,64,64512800
UHE ITAIPU GUAÍRA BRAÇO DIREITO,64838000,Ativo,GUAÍRA-PR,-24.04250,-54.23420,0.00,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,Setor Elétrico,6,64,60001000
NOVO TRÊS PASSOS,64849000,Ativo,MARECHAL CÂNDIDO RONDON-PR,-24.39390,-54.13830,550.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,6,64,64520100
ARROIO GUAÇU,64849010,Ativo,MERCEDES-PR,-24.39110,-54.14920,0.00,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,RHN,6,64,64520100
PCH MOINHO MONTANTE,64850050,Ativo,MARECHAL CÂNDIDO RONDON-PR,-24.47170,-53.99860,314.00,01117 - CERCAR - Cercar PCH Moinho S.A.,01117 - CERCAR - Cercar PCH Moinho S.A.,Setor Elétrico,6,64,64520100
PCH MOINHO BARRAMENTO,64850100,Ativo,MARECHAL CÂNDIDO RONDON-PR,-24.41920,-54.02860,290.00,01117 - CERCAR - Cercar PCH Moinho S.A.,01117 - CERCAR - Cercar PCH Moinho S.A.,Setor Elétrico,6,64,64520100
PCH MOINHO JUSANTE,64850150,Ativo,MARECHAL CÂNDIDO RONDON-PR,-24.42030,-54.03670,282.00,01117 - CERCAR - Cercar PCH Moinho S.A.,01117 - CERCAR - Cercar PCH Moinho S.A.,Setor Elétrico,6,64,64520100
PCH SÃO FRANCISCO MONTANTE 2,64863100,Ativo,OURO VERDE DO OESTE-PR,-24.77920,-53.76080,395.60,00543 - GÊNESIS - Gênesis Energética S.A,00543 - GÊNESIS - Gênesis Energética S.A,Setor Elétrico,6,64,64520400
PCH SÃO FRANCISCO MONTANTE 1,64864100,Ativo,OURO VERDE DO OESTE-PR,-24.74280,-53.85500,395.60,00543 - GÊNESIS - Gênesis Energética S.A,00543 - GÊNESIS - Gênesis Energética S.A,Setor Elétrico,6,64,64520400
PCH SÃO FRANCISCO BARRAMENTO,64864150,Ativo,OURO VERDE DO OESTE-PR,-24.73280,-53.89280,395.60,00543 - GÊNESIS - Gênesis Energética S.A,00543 - GÊNESIS - Gênesis Energética S.A,Setor Elétrico,6,64,64520400
PCH SÃO FRANCISCO JUSANTE,64864200,Ativo,OURO VERDE DO OESTE-PR,-24.71750,-53.94360,395.60,00543 - GÊNESIS - Gênesis Energética S.A,00543 - GÊNESIS - Gênesis Energética S.A,Setor Elétrico,6,64,64520400
SÃO FRANCISCO VERDADEIRO,64875600,Ativo,ENTRE RIOS DO OESTE-PR,-24.74390,-54.09670,0.00,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,RHN,6,64,64520400
UHE ITAIPU SÃO FRANCISCO FALSO,64892500,Ativo,DIAMANTE D''OESTE-PR,-24.96000,-54.17500,230.00,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,Setor Elétrico,6,64,64520480
UHE ITAIPU PAULISTANIA,64899500,Ativo,SÃO MIGUEL DO IGUAÇU-PR,-25.26670,-54.43330,218.00,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,Setor Elétrico,6,64,60001000
UHE ITAIPU DEFLUÊNCIA,64902080,Ativo,FOZ DO IGUAÇU-PR,-25.40000,-54.58330,0.00,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,Setor Elétrico,6,64,60001000
UHE ITAIPU R-4,64918000,Ativo,FOZ DO IGUAÇU-PR,-25.44170,-54.60280,0.00,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,Setor Elétrico,6,64,60001000
BARRAGEM IRAÍ,65001500,Ativo,PIRAQUARA-PR,-25.41780,-49.10670,891.02,00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,6,65,65102000
PONTE PR-415,65004995,Ativo,PIRAQUARA-PR,-25.45060,-49.12110,875.30,00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas ,RHN,6,65,65101000
COMPORTA CANAL ÁGUA LIMPA,65006090,Ativo,SÃO JOSÉ DOS PINHAIS-PR,-25.48640,-49.18110,876.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,6,65,65100000
FAZENDINHA,65010000,Ativo,SÃO JOSÉ DOS PINHAIS-PR,-25.51920,-49.14560,875.06,00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas ,RHN,6,65,65107000
JUSANTE PARQUE SÃO LOURENÇO,65011030,Ativo,CURITIBA-PR,-25.38670,-49.26610,919.46,00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,6,65,65108000
ETE - SANEPAR,65013005,Ativo,CURITIBA-PR,-25.52810,-49.21890,875.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,6,65,65100000
CACHOEIRA,65015400,Ativo,SÃO JOSÉ DOS PINHAIS-PR,-25.58920,-49.22810,878.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas ,RHN,6,65,65110000
PONTE DO UMBARAZINHO,65017006,Ativo,SÃO JOSÉ DOS PINHAIS-PR,-25.59860,-49.26080,879.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,6,65,65100000
SANTA QUITÉRIA,65019675,Ativo,CURITIBA-PR,-25.46330,-49.31970,889.09,00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,6,65,65113000
GUAJUVIRA,65025000,Ativo,ARAUCÁRIA-PR,-25.60030,-49.51330,857.72,00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas ,RHN,6,65,65100000
FORMIGAS,65026950,Ativo,ARAUCÁRIA-PR,-25.53780,-49.54440,869.22,00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,6,65,65115000
BALSA NOVA,65028000,Ativo,BALSA NOVA-PR,-25.58860,-49.63190,854.36,00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,6,65,65100000
UHE GOV. NEY AMINTHAS PORTO AMAZONAS,65035001,Ativo,PORTO AMAZONAS-PR,-25.54810,-49.88940,780.00,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,6,65,65100000
UHE GOV. NEY AMINTHAS SÃO MATEUS DO SUL,65060001,Ativo,SÃO MATEUS DO SUL-PR,-25.87560,-50.38940,760.00,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,6,65,65100000
PCH DERIVAÇÃO DO RIO JORDÃO RIO NEGRO,65100001,Ativo,RIO NEGRO-PR,-26.10970,-49.80110,766.00,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,6,65,65120000
QUITANDINHA,65136550,Ativo,QUITANDINHA-PR,-25.85500,-49.52580,800.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas ,RHN,6,65,65120400
PCH CANHADÃO BARRAMENTO,65140000,Ativo,MANGUEIRINHA-PR,-25.97830,-52.21330,890.00,00363 - CANHADÃO - Canhadão Produção de Energia Elétrica LTDA.,00363 - CANHADÃO - Canhadão Produção de Energia Elétrica LTDA.,Setor Elétrico,6,65,65140700
PCH CANHADÃO JUSANTE,65141000,Ativo,MANGUEIRINHA-PR,-25.97360,-52.16830,657.00,00363 - CANHADÃO - Canhadão Produção de Energia Elétrica LTDA.,00363 - CANHADÃO - Canhadão Produção de Energia Elétrica LTDA.,Setor Elétrico,6,65,65140700
PCH CAVERNOSO II SÃO BENTO,65155001,Ativo,LAPA-PR,-25.94390,-49.79610,775.00,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,6,65,65120400
FAZENDA MELLO,65155500,Ativo,ANTÔNIO OLINTO-PR,-25.98670,-50.09280,840.00,"00414 - RIGESA - Rigesa - Celulose, Papel e Embalagens Ltda.","00414 - RIGESA - Rigesa - Celulose, Papel e Embalagens Ltda.",RHN,6,65,65140450
PCH DERIVAÇÃO DO RIO JORDÃO DIVISA,65175001,Ativo,SÃO MATEUS DO SUL-PR,-26.09140,-50.33390,770.00,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,6,65,65120000
UHE GOV. BENTO MUNHOZ FLUVIÓPOLIS,65220001,Ativo,SÃO MATEUS DO SUL-PR,-26.01920,-50.59250,770.00,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,6,65,65100000
UHE GOV. BENTO MUNHOZ UNIÃO DA VITÓRIA,65310001,Ativo,UNIÃO DA VITÓRIA-PR,-26.22810,-51.08030,739.00,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,6,65,65100000
UHE GOV. BENTO MUNHOZ R5 PORTO VITÓRIA,65365801,Ativo,PORTO VITÓRIA-PR,-26.16530,-51.22810,740.00,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,6,65,65100000
UHE GOV. BENTO MUNHOZ JANGADA DO SUL,65370001,Ativo,GENERAL CARNEIRO-PR,-26.38690,-51.27190,800.00,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,6,65,65131200
UHE GOV. BENTO MUNHOZ MADEIREIRA GAVAZONI,65764001,Ativo,CRUZ MACHADO-PR,-25.80750,-51.28860,805.00,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,6,65,65140000
UHE GOV. BENTO MUNHOZ BARRAMENTO,65774400,Ativo,PINHÃO-PR,-26.00940,-51.66470,742.00,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,6,65,65100000
UHE GOV. NEY AMINTHAS SOLAIS NOVO,65775901,Ativo,CORONEL DOMINGOS SOARES-PR,-26.09310,-51.87970,720.00,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,6,65,65140300
UHE GOV. NEY AMINTHAS BARRAMENTO,65803001,Ativo,MANGUEIRINHA-PR,-25.78830,-52.11470,607.00,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,6,65,65100000
FOZ DO RIO BANANAS,65808500,Ativo,GUARAPUAVA-PR,-25.44310,-51.44640,967.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,6,65,65150090
CGH ENXADRISTA MONTANTE,65808900,Ativo,GUARAPUAVA-PR,-25.38470,-51.38530,1013.00,01142 - RIO DAS PEDRAS - Energética Rio das Pedras SPE Ltda.,01142 - RIO DAS PEDRAS - Energética Rio das Pedras SPE Ltda.,Setor Elétrico,6,65,65141400
ETA - GUARAPUAVA,65809000,Ativo,GUARAPUAVA-PR,-25.39780,-51.43580,950.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas ,RHN,6,65,65141400
FOZ DO RIO COUTINHO,65812000,Ativo,GUARAPUAVA-PR,-25.45280,-51.63580,0.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,6,65,65150000
PCH TRÊS CAPÕES JUSANTE,65813000,Ativo,GUARAPUAVA-PR,-25.46750,-51.66390,898.00,00187 - INSAM - Indústrias de Madeiras Santa Maria Ltda.-INSAM,00187 - INSAM - Indústrias de Madeiras Santa Maria Ltda.-INSAM,Setor Elétrico,6,65,65150000
